port,name,info
1,"tcpmux","TCP Port Service Multiplexer [rfc-1078]"
2,"compressnet","CompressNET Management Utility"
3,"compressnet","CompressNET Compression Process"
7,"echo","Echo protocol"
9,"discard","Discard protocol"
11,"systat","Active Users"
13,"daytime","Daytime protocol (RFC 867)"
15,"netstat","netstat service"
17,"qotd","Quote of the Day"
18,"msp","Message Send protocol"
19,"chargen","Character Generation protocol"
20,"ftp-data","File Transfer [Data]"
21,"ftp","File Transfer [Control]"
22,"ssh","Secure Shell Login"
23,"telnet","Telnet (unencrypted text)"
24,"priv-mail","Any private mail system"
25,"smtp","Simple Mail Transfer"
26,"rsftp","RSFTP"
27,"nsw-fe","NSW User System FE"
29,"msg-icp","MSG ICP"
31,"msg-auth","MSG Authentication"
33,"dsp","Display Support protocol"
35,"priv-print","Any private printer server"
37,"time","Time protocol"
38,"rap","Route Access protocol"
39,"rlp","Resource Location protocol"
42,"nameserver","ARPA Host Name Server protocol"
43,"whois","WHOIS protocol"
44,"mpm-flags","MPM FLAGS protocol"
45,"mpm","Message Processing Module [recv]"
47,"ni-ftp","NI FTP"
48,"auditd","Digital Audit Daemon"
49,"tacacs","Login Host protocol (TACACS)"
50,"re-mail-ck","Remote Mail Checking protocol"
51,"la-maint","IMP Logical Address Maintenance"
52,"xns-time","XNS Time protocol"
53,"domain","Domain Name Server"
54,"xns-ch","XNS Clearinghouse"
55,"isi-gl","ISI Graphics Language"
56,"rap","XNS (Xerox Network Services) Authentication; Route Access protocol"
57,"priv-term","Mail Transfer protocol; any private terminal access"
58,"xns-mail","XNS Mail"
59,"priv-file","any private file service"
65,"tacacs-ds","TACACS-Database Service"
66,"sqlnet","Oracle SQL*NET"
67,"dhcps","DHCP/Bootstrap protocol Server"
68,"dhcpc","DHCP/Bootstrap protocol Client"
69,"tftp","Trivial File Transfer"
70,"gopher","Gopher protocol"
71,"netrjs-1","NETRJS protocol; Remote Job Service"
72,"netrjs-2","NETRJS protocol; Remote Job Service"
73,"netrjs-3","NETRJS protocol; Remote Job Service"
74,"netrjs-4","NETRJS protocol; Remote Job Service"
75,"priv-dial","any private dial out service"
76,"deos","Distributed External Object Store"
